reaction_flavor,trigger_count,per_run
火 + 油 → 爆炸,11266,11.27
寒 + 水 → 冰封,10341,10.34
毒 + 腐 → 瘟疫,11265,11.27
铁 + 水 → 净化,12909,12.91
骨收 + 灵吸 → 骸魂,1758,1.76
