trait_id,pick_count,fire_count
flame_brand,2046,6184
oil_slick,2038,2845
bone_harvest,2040,0
lunar_echo,1994,17442
void_consume,2054,15238
iron_guard,2078,25253
decay_bite,2085,6239
frost_bite,1987,7287
water_drop,1967,2030
strike_basic,2018,47496
